execution_time_ms,memory_kb,exit_code,tests_passed_ratio,total_lines,code_lines,avg_line_length,for_loop_count,while_loop_count,nested_loop_depth,recursion_detected,uses_hashmap,uses_set,uses_sorting,cyclomatic_complexity_avg,cyclomatic_complexity_max,language_speed_factor,optimization_score,language
11.0,3664.0625,0,1.0,2,2,19.5,0,0,0,0,0,0,0,1.0,1.0,2.0,99.25,python
26.0,7160.15625,0,1.0,1,1,154.0,0,0,0,0,0,0,0,1.0,1.0,1.5,98.48,javascript
24.0,6660.15625,0,1.0,5,5,36.0,0,0,0,0,0,0,0,1.0,1.0,1.5,98.59,javascript
898.0,49871.09375,0,1.0,7,7,26.714285714285715,0,0,0,0,0,0,0,1.0,1.0,1.3,81.56,java
11.0,3664.0625,0,1.0,5,5,15.2,1,0,1,0,0,0,0,1.0,1.0,2.0,99.25,python
27.0,6664.0625,0,1.0,10,10,20.7,1,0,1,0,0,0,0,2.0,2.0,1.5,98.56,javascript
1252.0,49968.75,0,1.0,9,9,27.444444444444443,1,0,1,0,0,0,0,2.0,2.0,1.3,77.65,java
10.0,3667.96875,0,1.0,10,10,20.7,2,0,2,0,0,0,0,1.0,1.0,2.0,99.26,python
23.0,7160.15625,0,1.0,13,13,26.153846153846153,2,0,1,0,0,0,0,4.0,4.0,1.5,98.52,javascript
990.0,51804.6875,0,1.0,12,12,35.333333333333336,3,0,2,0,0,0,0,5.0,5.0,1.3,80.22,java
10.0,3664.0625,0,1.0,9,9,21.0,1,0,1,0,1,0,0,1.0,1.0,2.0,99.26,python
25.0,6910.15625,0,1.0,15,15,25.733333333333334,1,0,1,0,1,1,0,3.0,3.0,1.5,98.54,javascript
26.0,3660.15625,0,1.0,9,9,26.0,2,0,2,0,0,0,0,1.0,1.0,2.0,99.09,python
16.0,3660.15625,0,0.3333333333333333,6,6,19.5,0,0,0,0,0,0,0,1.0,1.0,2.0,0.0,python
25.0,6925.78125,0,0.3333333333333333,10,10,27.5,0,0,0,0,0,0,0,2.0,2.0,1.5,0.0,javascript
11.0,3660.15625,0,0.0,7,7,19.0,0,0,0,1,0,0,0,2.0,2,2.0,0.0,python
952.0,52007.8125,0,0.0,10,10,25.7,0,0,0,1,0,0,0,2.0,2.0,1.3,0.0,java
12.0,3664.0625,0,1.0,4,4,24.0,0,0,0,0,0,0,1,1.0,1.0,2.0,99.24,python
27.0,6910.15625,0,1.0,10,10,25.6,0,0,0,0,0,0,1,1.0,1.0,1.5,98.52,javascript
955.0,52300.78125,0,1.0,13,13,34.0,2,0,1,0,0,0,1,4.0,4.0,1.3,80.52,java
11.0,3664.0625,0,1.0,8,8,19.875,1,0,1,0,0,0,0,1.0,1.0,2.0,99.25,python
25.0,6660.15625,0,1.0,11,11,23.636363636363637,1,0,1,0,0,0,0,2.0,2.0,1.5,98.58,javascript
942.0,52906.25,0,1.0,10,10,29.4,1,0,1,0,0,0,0,2.0,2.0,1.3,80.56,java
11.0,3675.78125,0,1.0,12,12,33.416666666666664,3,0,2,0,0,0,0,1.0,1.0,2.0,99.25,python
25.0,6656.25,0,1.0,17,17,30.0,2,0,1,0,0,0,0,4.0,4.0,1.5,98.58,javascript
940.0,51320.3125,0,1.0,17,17,38.11764705882353,4,0,2,0,0,0,0,6.0,6.0,1.3,80.85,java
10.0,3664.0625,0,1.0,15,15,21.333333333333332,0,1,1,0,0,0,0,1.0,1.0,2.0,99.26,python
28.0,6664.0625,0,1.0,17,17,24.764705882352942,0,1,1,0,0,0,0,4.0,4.0,1.5,98.55,javascript
974.0,50175.78125,0,1.0,17,17,32.1764705882353,1,1,1,0,0,0,0,5.0,5.0,1.3,80.67,java
14.0,4164.0625,0,1.0,18,18,30.11111111111111,3,1,2,0,0,0,0,1.0,1.0,2.0,99.13,python
27.0,7160.15625,0,1.0,23,23,27.82608695652174,2,1,1,0,0,0,0,5.0,5.0,1.5,98.47,javascript
12.0,3664.0625,0,1.0,13,13,26.46153846153846,2,0,1,0,0,0,0,1.0,1.0,2.0,99.24,python
24.0,6660.15625,0,1.0,18,18,26.0,2,0,1,0,0,0,0,3.0,3.0,1.5,98.59,javascript
997.0,53050.78125,0,1.0,17,17,33.88235294117647,2,0,1,0,0,0,0,4.0,4.0,1.3,79.93,java
11.0,3664.0625,0,0.0,10,10,25.0,1,0,1,0,0,0,0,1.0,1.0,2.0,0.0,python
26.0,6660.15625,0,0.0,14,14,27.857142857142858,2,0,1,0,0,0,0,3.0,3.0,1.5,0.0,javascript
1255.0,49105.46875,0,0.0,14,14,35.214285714285715,3,0,1,0,0,0,0,4.0,4.0,1.3,0.0,java
11.0,3664.0625,0,1.0,13,13,24.384615384615383,1,0,1,0,0,0,1,1.0,1.0,2.0,99.25,python
26.0,6914.0625,0,1.0,16,16,29.625,2,0,1,0,0,0,1,4.0,4.0,1.5,98.53,javascript
1050.0,57960.9375,0,1.0,14,14,37.357142857142854,3,0,1,0,0,0,1,5.0,5.0,1.3,78.5,java
11.0,3664.0625,0,1.0,2,2,19.0,0,0,0,0,0,0,0,1.0,1.0,2.0,99.25,python
39.0,6660.15625,0,1.0,8,8,24.375,0,0,0,0,0,0,0,1.0,1.0,1.5,98.43,javascript
11.0,3675.78125,0,1.0,12,12,27.583333333333332,3,0,2,0,0,0,0,1.0,1.0,2.0,99.25,python
34.0,6914.0625,0,1.0,14,14,29.714285714285715,2,0,1,0,0,0,0,3.0,3.0,1.5,98.44,javascript
1124.0,49257.8125,0,1.0,13,13,37.46153846153846,2,0,2,0,0,0,0,3.0,3.0,1.3,79.18,java
11.0,3664.0625,0,1.0,12,12,30.916666666666668,7,0,3,0,0,0,0,1.0,1.0,2.0,99.25,python
1065.0,50789.0625,0,1.0,17,17,45.529411764705884,9,0,2,0,0,0,0,11.0,11.0,1.3,79.57,java
11.0,3664.0625,0,1.0,7,7,18.0,0,1,1,1,0,0,0,2.0,2,2.0,99.25,python
28.0,6664.0625,0,1.0,10,10,26.8,0,1,0,1,0,0,0,2.0,2.0,1.5,98.55,javascript
11.0,3664.0625,0,1.0,11,11,23.181818181818183,2,0,2,0,0,0,0,1.0,1.0,2.0,99.25,python
26.0,7164.0625,0,1.0,12,12,30.75,2,0,1,0,0,0,0,5.0,5.0,1.5,98.48,javascript
931.0,52425.78125,0,1.0,13,13,36.61538461538461,3,0,1,0,0,0,0,6.0,6.0,1.3,80.76,java
11.0,3664.0625,0,1.0,9,9,26.11111111111111,1,0,1,0,0,0,0,1.0,1.0,2.0,99.25,python
24.0,6664.0625,0,1.0,11,11,29.09090909090909,1,0,1,0,0,0,0,3.0,3.0,1.5,98.59,javascript
11.0,3664.0625,0,1.0,9,9,25.77777777777778,1,0,1,0,0,0,0,1.0,1.0,2.0,99.25,python
25.0,6914.0625,0,1.0,11,11,31.363636363636363,1,0,1,0,0,0,0,2.0,2.0,1.5,98.54,javascript
